P5PL3;C04;p5_183;down;down;;P5PL3;G10;p8_20;neutral;neutral
P5PL3;C05;p5_184;down;down;;P5PL3;G11;p8_21;neutral;neutral
P5PL3;C06;p5_185;down;down;;P5PL3;H02;p5_231;down;down
P5PL3;C07;p5_186;down;down;;P5PL3;H03;p5_232;neutral;neutral
P5PL3;C08;p5_187;down;neutral;;P5PL3;H04;p5_233;down;down
P5PL3;C09;p8_7;neutral;neutral;;P5PL3;H05;p5_234;down;down
P5PL3;C10;p8_8;down;down;;P5PL3;H06;p5_235;neutral;neutral
P5PL3;C11;p8_9;neutral;neutral;;P5PL3;H07;p5_236;down;neutral
P5PL3;D02;p5_191;neutral;neutral;;P5PL3;H08;p5_237;down;neutral
P5PL3;D03;p5_192;neutral;neutral;;P5PL3;H09;p8_22;neutral;down
P5PL3;D04;p5_193;neutral;neutral;;P5PL3;H10;p8_23;up;neutral
P5PL3;D05;p5_194;down;neutral;;P5PL3;H11;p8_24;up;neutral
P5PL3;D06;p5_195;neutral;neutral;;;;;;
P5PL3;D07;p5_196;neutral;neutral;;;;;;
P5PL3;D08;p5_197;down;neutral;;P5PL3;;;;
P5PL3;D09;p8_10;neutral;down;;;;;;
P5PL3;D10;p8_11;neutral;neutral;;;;;;
P5PL3;D11;p8_12;down;down;;;;;;
P5PL3;E02;p5_201;neutral;neutral;;;;;;
P5PL3;E03;p5_202;down;down;;;;;;
P5PL3;E04;p5_203;neutral;down;;;;;;
P5PL3;E05;p5_204;neutral;neutral;;;;;;
P5PL3;E06;p5_205;down;neutral;;;;;;
P5PL3;E07;p5_206;down;neutral;;;;;;
plate;well;iso_id;mKate;eGFP;;plate;well;iso_id;mKate;eGFP
P8PL1;A02;p8_25;down;down;;P8PL1;E08;p8_71;down;neutral
P8PL1;A03;p8_26;neutral;neutral;;P8PL1;E09;p8_72;neutral;up
P8PL1;A04;p8_27;down;down;;P8PL1;E10;p8_73;neutral;down
P8PL1;A05;p8_28;neutral;neutral;;P8PL1;E11;p8_74;neutral;neutral
