 ,Label,Area,Mean,StdDev,IntDen,RawIntDen
19,0.1xlbgm_bskoreensis_co-02.czi:0001-0718:c:1/3 - 0.1xlbgm_bskoreensis_co-02.czi #1,55419953.551,4030.035,1084.224,223344360560.482,1043476850.000
20,0.1xlbgm_bskoreensis_co-02.czi:0001-0718:c:2/3 - 0.1xlbgm_bskoreensis_co-02.czi #1,55419953.551,2383.274,243.592,132080960180.702,617089341.000
21,0.1xlbgm_bskoreensis_co-03.czi:0001-0741:c:1/3 - 0.1xlbgm_bskoreensis_co-03.czi #1,45043146.490,3453.733,648.908,155567011634.503,726817435.000
22,0.1xlbgm_bskoreensis_co-03.czi:0001-0741:c:2/3 - 0.1xlbgm_bskoreensis_co-03.czi #1,45043146.490,2016.321,172.589,90821427507.691,424322588.000
23,0.1xlbgm_bskoreensis_co.czi:0001-0729:c:1/3 - 0.1xlbgm_bskoreensis_co.czi #1,47509085.603,4019.363,986.170,190956246434.374,892157841.000
24,0.1xlbgm_bskoreensis_co.czi:0001-0729:c:2/3 - 0.1xlbgm_bskoreensis_co.czi #1,47509085.603,2400.501,234.512,114045626878.015,532827295.000
25,0.1xlbgm_bslini_bs-02.czi:0001-0737:c:1/3 - 0.1xlbgm_bslini_bs-02.czi #1,48281336.998,3670.573,754.232,177220177056.141,827982187.000
26,0.1xlbgm_bslini_bs-02.czi:0001-0737:c:2/3 - 0.1xlbgm_bslini_bs-02.czi #1,48281336.998,2207.526,118.147,106582320565.696,497958327.000
27,0.1xlbgm_bslini_bs-03.czi:0001-0744:c:1/3 - 0.1xlbgm_bslini_bs-03.czi #1,43411315.938,3569.247,681.910,154945711629.061,723914688.000
28,0.1xlbgm_bslini_bs-03.czi:0001-0744:c:2/3 - 0.1xlbgm_bslini_bs-03.czi #1,43411315.938,2154.938,105.697,93548697306.142,437064539.000
29,0.1xlbgm_bslini_bs.czi:0001-0745:c:1/3 - 0.1xlbgm_bslini_bs.czi #1,58592006.120,4086.413,1009.114,239431133219.218,1118635116.000
30,0.1xlbgm_bslini_bs.czi:0001-0745:c:2/3 - 0.1xlbgm_bslini_bs.czi #1,58592006.120,2426.809,133.249,142191585369.971,664326725.000
31,0.1xlbgm_bslini_co-02.czi:0001-0714:c:1/3 - 0.1xlbgm_bslini_co-02.czi #1,37940060.351,3748.051,1003.633,142201267621.661,664371961.000
